ID,Nome,Ano,Duracao,Metascore,Generos,Qtd votos,IMDB,Qtd atores,Estrela de cinema,Companhia(s) produtora(s),Distribuicao,idioma original,colecao de filmes,oscars indicados,oscars ganhos,Qtd filmes anteriores ator princ.
14,Zathura: Uma Aventura Espacial,2005,101,67,"acao, aventura, comedia",98995,62,11,"Josh Hutcherson, Jonah Bobo, Dax Shepard",,Columbia,en,F,0,0,3
15,MIB: Homens de Preto,1997,98,71,"acao, aventura, comedia",537432,73,45,"Tommy Lee Jones, Will Smith, Linda Fiorentino",Amblin ,Columbia,en,T,5,3,19
16,Harry Potter e a Pedra Filosofal,2001,152,64,"aventura, familia, fantasia",702565,76,52,"Daniel Radcliffe, Rupert Grint, Richard Harris",Heyday ,Warner Bros.,en,T,3,0,1
17,O Senhor dos Aneis: O Retorno do Rei,2003,201,94,"acao, aventura, drama",1715375,89,52,"Elijah Wood, Viggo Mortensen, Ian McKellen",WingNut ,New Line,en,T,11,11,15
18,Megamente,2010,95,63,"animacao, acao, comedia",241603,73,19,"Will Ferrell, Jonah Hill, Brad Pitt",DreamWorks,Paramount,en,F,0,0,36
19,O Aprendiz de Feiticeiro,2010,109,46,"acao, aventura e familia",157519,61,36,"Nicolas Cage, Jay Baruchel, Alfred Molina",Walt Disney,Walt Disney,en,F,0,0,60
20,O Ultimo Samurai,2003,154,55,"acao, drama",416713,77,48,"Tom Cruise, Ken Watanabe, Billy Connolly",Radar,Warner Bros.,en,F,4,0,31
21,Salvando o Natal,2014,79,18,"comedia, familia",15570,14,47,"Kirk Cameron, Darren Doane, Bridgette Cameron",Camfam,Samuel Goldwyn Films,en,F,0,0,5
22,A Mumia,1999,124,48,"acao, aventura e fantasia",408243,70,25,"Brendan Fraser, Rachel Weisz, John Hannah",Alphaville Films,Universal,en,T,1,0,5
23,Operação Cupido,1998,128,64,"aventura, comedia, drama",128359,66,48,"Lindsay Lohan, Dennis Quaid, Natasha Richardson",Walt Disney,Buena Vista,en,F,0,0,0
24,Dirty Dancing: Ritmo Quente,1987,100,65,"drama, musical, romance",215603,70,33,"Patrick Swayze, Jennifer Grey, Jerry Orbach",Vestron Pictures,Flashstar,en ,F,1,1,3
25,"Nanny McPhee, a Baba Encantada",2005,97,59,"comedia, familia, fantasia",72226,66,21,"Emma Thompson, Colin Firth, Angela Lansbury",Universal Pictures,Universal,en,F,0,0,19
26,Vestida para Casar,2008,111,47,"comedia, romance",158991,61,33,"Katherine Heigl, James Marsden, Malin Akerman", Spyglass,20th Century Fox,en,F,0,0,17
27,Uma Noite no Museu,2006,108,48,"aventura, comedia, familia",328375,64,39,"Ben Stiller, Carla Gugino, Ricky Gervais", Ingenious ,20th Century Fox,en,F,0,0,45
28,Diary of a Cannibal,2007,81,,"crime, horror",864,15,16,"Trevor Parsons, Jillian Swanson, Michael Barbour",The Shadow Factory,Lions Gate ,en,F,0,0,1
29,Venom: Tempo de Carnificina,2021,97,47,"acao, aventura, sci-fi",32542,64,49,"Tom Hardy, Woody Harrelson, Michelle Williams",Columbia ,Sony Pictures,en,T,0,0,27
30,Alone in the Dark: O Despertar do Mal,2005,99,9,"acao, horror, sci-fi",45097,24,32,"Christian Slater, Tara Reid, Stephen Dorff",Flashstar,Flashstar,en,T,0,0,25
31,Meninas Malvadas,2004,97,66,comedia,356.987,70,66,StarsLindsay LohanJonathan BennettRachel McAdams,Broadway ,Paramount,en,F,0,0,4
32,Shrek 2,2004,93,75,"animacao, aventura, comedia",437.822,72,25,StarsMike Myers(voice)Eddie Murphy(voice)Cameron Diaz(voice),DreamWorks ,,en,T,2,0,14
33,"Eu, Robô",2004,105,59,"acao, misterio, sci-fi",516.446,71,34,StarsWill SmithBridget MoynahanBruce Greenwood,20th Century Fox,,en,F,1,0,14
34,Os Incríveis,2004,105,90,"animacao, acao, aventura",683.212,80,51,StarsCraig T. Nelson(voice)Samuel L. Jackson(voice)Holly Hunter(voice),Pixar,Walt Disney,en,T,4,2,28
35,Os Bad Boys II,2003,147,38,"acao, comedia, crime",240.535,66,89,StarsWill SmithMartin LawrenceGabrielle Union,Columbia  ,Sony,en,T,0,0,11
36,Procurando Nemo,2003,100,90,"animacao, aventura, comedia",986.977,81,23,StarsAlbert Brooks(voice)Ellen DeGeneres(voice)Alexander Gould(voice),Pixar,Walt Disney,en,T,4,1,18
37,O Último Mestre do Ar,2003,103,20,"acao, aventura, familia",158.658,40,32,StarsNoah RingerNicola PeltzJackson Rathbone,Nickelodeon ,Paramount,en,T,0,0,0
38,Réquiem para um Sonho,2000,102,68,drama,798.178,83,72,StarsEllen BurstynJared LetoJennifer Connelly,Thousand Words,"Artisan, Europa",,F,1,0,29
39,X-Men: O Filme,2000,104,64,"acao, aventura, sci-fi",589.466,74,62,StarsPatrick StewartHugh JackmanIan McKellen,"20th Century Fox
Marvel Studios",20th Century Fox,en,T,0,0,26
40,Náufrago,2000,143,73,"aventura, drama, romance",554.375,78,65,StarsTom HanksHelen HuntPaul Sanchez,ImageMovers ,DreamWorks,en,F,2,0,28
41,Psicopata Americano,2000,101,64,"comedia, crime, drama",528.918,76,39,StarsChristian BaleJustin TherouxJosh Lucas,Edward R. Pressman ,"Lions Gate, Columbia",en,F,0,0,14
42,Corpo Fechado,2000,106,62,"drama, misterio, sci-fi",402.049,73,40,StarsBruce WillisSamuel L. JacksonRobin Wright,Touchstone ,Buena Vista,en,F,0,0,37
43,Entrando numa Fria,2000,108,73,"comedia, romance",321.435,70,31,StarsBen StillerRobert De NiroTeri Polo,Tribeca,DreamWorks,en,T,1,0,26
44,Ghost World: Aprendendo a Viver,2001,111,88,"comedia, drama",117.899,73,59,StarsSteve BuscemiThora BirchScarlett Johansson,Granada ,United Artists,,F,1,0,60
45,O Candelabro Italiano,1962,169,,"drama, romance",1.207,64,13,StarsTroy DonahueSuzanne PleshetteRossano Brazzi,,,,F,0,0,16
46,A Flor do Pântano,1957,89,,"comedia, romance",2.336,70,11,StarsDebbie ReynoldsWalter BrennanLeslie Nielsen,,Universal,,F,1,0,17
47,Uma Mente Brilhante,2001,135,72,"biografia, drama",884.071,82,55,StarsRussell CroweEd HarrisJennifer Connelly,Imagine,DreamWorks,en,F,8,4,21
48,Monstros S.A.,2001,92,79,"animacao, aventura, comedia",853.761,81,52,StarsBilly Crystal(voice)John Goodman(voice)Mary Gibbs(voice),"Walt Disney, Pixar",Walt Disney,en,T,4,1,21
49,Melodia Imortal,1956,123,,"biografia, drama, musical",1.832,69,18,StarsTyrone PowerKim NovakVictoria Shaw,Columbia,Columbia,en,F,4,0,44
50,Shrek,2001,90,84,"animacao, aventura, comedia",640.468,79,23,StarsMike Myers(voice)Eddie Murphy(voice)Cameron Diaz(voice),DreamWorks,DreamWorks,en,T,2,1,9
51,A Viagem de Chihiro,2001,125,96,"animacao, aventura, familia",697.576,86,68,Daveigh Chase(English version)Suzanne Pleshette(English version)Miyu Irino(voice),Studio Ghibli,Studio Ghibli,jp,F,1,1,4
52,Meu Amigo Totoro,1988,86,86,"animacao, familia, fantasia",312.553,82,53,StarsHitoshi Takagi(voice)Noriko Hidaka(voice)Chika Sakamoto(voice),Studio Ghibli,Studio Ghibli,jp,F,0,0,24
53,Dia de Treinamento,2001,122,69,"crime, drama, thriller",411.012,77,38,StarsDenzel WashingtonEthan HawkeScott Glenn,,,en,F,0,0,37
54,Falcão Negro em Perigo,2001,144,74,"drama, historia, guerra",378.356,77,47,StarsJosh HartnettEwan McGregorTom Sizemore,Scott Free,Columbia,en,F,2,1,13
55,Lilo & Stitch,2002,85,73,"animacao, aventura, comedia",177.972,73,49,StarsDaveigh Chase(voice)Chris Sanders(voice)Tia Carrere(voice),Walt Disney ,Buena Vista,en,T,1,0,5
56,O Quarto do Pânico,2002,112,65,"crime, drama, thriller",269.795,68,15,StarsJodie FosterKristen StewartForest Whitaker,Miramax,Miramax,en,T,5,1,35
57,O Carteiro e o Poeta,2002,108,81,"biografia, comedia, drama",35.190,77,14,StarsMassimo TroisiPhilippe NoiretMaria Grazia Cucinotta,WingNut,New Line,it,F,0,0,13
58,E sua Mãe Também,2001,106,88,drama,119.584,76,20,StarsMaribel VerdúGael García BernalDaniel Giménez Cacho(voice),,,,F,1,0,5
59,O Senhor dos Anéis: A Sociedade do Anel,2001,207,92,"acao, aventura, drama",1.737.327,88,45,StarsElijah WoodIan McKellenOrlando Bloom,,,en,T,13,4,19
60,Donnie Darko,2001,113,88,"drama, misterio, sci-fi",765.843,80,41,StarsJake GyllenhaalJena MaloneMary McDonnell,Flower,Pandora,en,F,0,0,5
61,O Fabuloso Destino de Amélie Poulain,2001,122,69,"comedia, romance",726.919,83,69,StarsAudrey TautouMathieu KassovitzRufus,Claudie,Prokino,,F,5,0,2
62,Piratas do Caribe: A Maldição do Pérola Negra,2003,143,63,"acao, aventura, fantasia",1.047.804,80,64,StarsJohnny DeppGeoffrey RushOrlando Bloom,Walt Disney,Buena Vista,en,T,5,0,27
63,Hellboy,2004,122,72,"acao, fantasia",316.166,68,45,StarsRon PerlmanDoug JonesSelma Blair,,,en,T,0,0,21
64,"Van Helsing, o Caçador de Monstros",2004,131,35,"acao, aventura, fantasia",255.033,61,23,StarsHugh JackmanKate BeckinsaleRichard Roxburgh,,,en,F,0,0,8
65,Batman Begins,2005,140,70,"acao, aventura",1.365.037,82,95,StarsChristian BaleMichael CaineKen Watanabe,Warner Bros.,Warner Bros.,en,T,1,0,22
66,V de Vingança,2005,132,62,"acao, drama, sci-fi",1.069.297,81,67,StarsHugo WeavingNatalie PortmanRupert Graves,Virtual Studios,Warner Bros.,en,F,0,0,33
67,Madagascar,2005,86,57,"animacao, aventura, comedia",381.732,69,21,StarsChris Rock(voice)Ben Stiller(voice)David Schwimmer(voice),DramWorks,DreamWorks,en,T,0,0,29
68,Quarteto Fantástico,2005,106,40,"acao, aventura, fantasia",319.490,57,50,StarsIoan GruffuddMichael ChiklisChris Evans,20th Century Fox,20th Century Fox,en,T,0,0,12
69,Constantine,2005,121,50,"acao, fantasia, horror",323.291,70,32,StarsKeanu ReevesRachel WeiszDjimon Hounsou,Warner Bros.,Warner Bros.,en,F,0,0,37
70,Orgulho & Preconceito,2005,129,82,"drama, romance",274.582,78,27,StarsKeira KnightleyMatthew MacfadyenBrenda Blethyn,StudioCanal,Universal,en,F,4,0,8
71,A Noiva Cadáver,2005,77,83,"animacao, drama, familia",256.266,73,16,StarsJohnny Depp(voice)Helena Bonham Carter(voice)Emily Watson(voice),Warner Bros.,Warner Bros.,en,F,1,0,34
72,"Hitch, Conselheiro Amoroso",2005,118,58,"comedia, romance",305.260,66,48,StarsWill SmithEva MendesKevin James,Columbia,Columbia,en,F,0,0,19
73,Click,2006,107,45,"comedia, drama, fantasia",317.189,64,57,StarsAdam SandlerKate BeckinsaleChristopher Walken,Columbia,Sony,en,F,1,0,31
74,Terror em Silent Hill,2006,125,31,"horror, misterio",221.848,65,59,StarsRadha MitchellLaurie HoldenSean Bean,,,en,F,0,0,19
75,Happy Feet,2006,108,77,"animacao, aventura, comedia",177.264,64,97,StarsElijah Wood(voice)Brittany Murphy(voice)Hugh Jackman(voice),Kennedy Miller ,Warner Bros.,en,T,1,1,32
76,300,2006,117,52,"acao, drama",758.985,76,75,StarsGerard ButlerLena HeadeyDavid Wenham,Virtual Studios,Warner Bros.,en,F,0,0,20
77,Superman: O Retorno,2006,154,72,"acao, sci-fi",276.592,60,78,StarsBrandon RouthKevin SpaceyKate Bosworth,Warner Bros.,Warner Bros.,en,T,1,0,2
78,A Era do Gelo 2,2006,91,60,"animacao, aventura, comedia",266.094,68,71,StarsRay Romano(voice)John Leguizamo(voice)Denis Leary(voice),20th Century Fox,20th Century Fox,en,T,0,0,5
79,Ratatouille,2007,111,96,"animacao, aventura, comedia",672.091,80,22,StarsBrad Garrett(voice)Lou Romano(voice)Patton Oswalt(voice),"Walt Disney, Pixar",Walt Disney,en,F,5,1,13
80,Transformers,2007,144,61,"acao, aventura, sci-fi",614.335,70,83,StarsShia LaBeoufMegan FoxJosh Duhamel,,,en,T,3,0,11
81,Sangue Negro,2007,158,93,drama,547.271,82,50,StarsDaniel Day-LewisPaul DanoCiarán Hinds,,,en,F,8,2,14
82,"Sweeney Todd, o Barbeiro Demoníaco da Rua Fleet",2007,116,83,"drama, horror, musical",354.737,73,52,StarsJohnny DeppHelena Bonham CarterAlan Rickman,Hasbro,Paramount,en,F,2,1,36
83,Motoqueiro Fantasma,2007,110,35,"acao, fantasia, thriller",230.294,53,44,Nicolas CageEva MendesSam Elliott,,,en,T,0,0,50
84,Atividade Paranormal,2007,86,68,"horror, misterio",228.931,63,5,StarsKatie FeatherstonMicah SloatMark Fredrichs,Blumhouse,Paramount,en,T,0,0,3
85,A Lenda do Tesouro Perdido: Livro dos Segredos,2007,124,48,"acao, aventura, misterio",226.823,65,62,StarsNicolas CageDiane KrugerJustin Bartha,Walt Disney,Walt Disney,en,T,0,0,53
86,P.S. Eu te Amo,2007,126,39,"comedia, drama, romance",204.841,70,39,StarsHilary SwankGerard ButlerHarry Connick Jr.,Alcon,Warner Bros.,en,F,0,0,14
87,Encantada,2007,107,75,"animacao, aventura, comedia",188.241,70,218,StarsAmy AdamsSusan SarandonJames Marsden,Walt Disney,Walt Disney,en,F,3,0,18
88,Kung Fu Panda,2008,92,74,"animacao, acao, aventura",439.894,76,26,StarsJack Black(voice)Ian McShane(voice)Angelina Jolie(voice),DreamWorks,Paramount,en,T,1,0,40
89,Indiana Jones e o Reino da Caveira de Cristal,2008,122,65,"acao, aventura",439.029,61,37,StarsHarrison FordCate BlanchettShia LaBeouf,LucasFilm,Paramount,en,T,0,0,41
90,Madagascar 2: A Grande Escapada,2008,89,61,"animacao, aventura, comedia",215.142,66,40,StarsBen Stiller(voice)Chris Rock(voice)David Schwimmer(voice),DreamWorks,Paramount,en,T,0,0,51
91,As Crônicas de Nárnia: Príncipe Caspian,2008,150,62,"acao, aventura, familia",201.882,65,44,StarsBen BarnesSkandar KeynesGeorgie Henley,Walden,Walt Disney,en,T,0,0,2
92,WALL·E,2008,98,95,"animacao, aventura, familia",1.046.196,84,24,StarsBen Burtt(voice)Elissa Knight(voice)Jeff Garlin(voice),Walt Disney,Walt Disney,en,F,6,1,13
93,Homem de Ferro,2008,126,79,"acao, aventura, sci-fi",987.501,79,61,StarsRobert Downey Jr.Gwyneth PaltrowTerrence Howard,Marvel,Paramount,en,T,2,0,61
94,Hancock,2008,92,49,"acao, drama, fantasia",460.882,64,54,StarsWill SmithCharlize TheronJason Bateman,Columbia,Sony,en,F,0,0,23
95,Crepúsculo,2008,122,56,"drama, fantasia, romance",444.116,52,32,StarsKristen StewartRobert PattinsonBilly Burke,DMG,Paris,en,T,0,0,19
96,Up: Altas Aventuras,2009,96,88,"acao, aventura, comedia",979.140,82,31,StarsEd Asner(voice)Jordan Nagai(voice)John Ratzenberger(voice),Pixar,Walt Disney,en,F,5,2,42
97,Harry Potter e o Enigma do Príncipe,2009,153,78,"acao, aventura, familia",501.686,76,54,StarsDaniel RadcliffeEmma WatsonRupert Grint,Heyday,Warner Bros.,en,T,1,0,8
98,Transformers: A Vingança dos Derrotados,2009,149,35,"acao, aventura, sci-fi",394.991,60,75,StarsShia LaBeoufMegan FoxJosh Duhamel,Hasbro,Paramount,en,T,1,0,15
99,2012,2009,158,49,"acao, aventura, sci-fi",364.657,58,106,StarsJohn CusackThandiwe NewtonChiwetel Ejiofor,Centropolis,Columbia,en,F,0,0,50
100,Sob o Sol da Toscana,2003,113,52,"comedia, drama, romance",50.092,68,48,StarsDiane LaneRaoul BovaSandra Oh,Touchstone,Buena Vista,,F,0,0,22
101,Abençoai as Feras e as Crianças,1971,109,,"comedia, drama",1.383,67,18,StarsBill MumyBarry RobinsMiles Chapin,Stanley,Columbia,,F,1,0,0
102,Guardiões da Galáxia Vol. 2,2017,136,67,"acao, aventura, comedia",614.196,76,47,StarsChris PrattZoe SaldanaDave Bautista,Marvel,Walt Disney,en,T,1,0,26
103,Mulher-Maravilha,2017,141,76,"acao, aventura, familia",613.597,74,75,StarsGal GadotChris PineRobin Wright,DC,Warner Bros.,en,T,0,0,9
104,Dunkirk,2017,106,94,"acao, drama, historia",599.321,78,76,StarsFionn WhiteheadBarry KeoghanMark Rylance,Syncopy,Warner Bros.,en,F,8,3,1
105,Jumanji: Bem-Vindo à Selva,2017,119,58,"acao, aventura, comedia",346.641,69,47,StarsDwayne JohnsonKaren GillanKevin Hart,Columbia,Sony,en,T,0,0,34
106,A Bela e a Fera,2017,129,65,"aventura, familia, fantasia",289.492,71,30,StarsEmma WatsonDan StevensLuke Evans,Walt Disney,Walt Disney,en,F,2,0,17
107,Kong: A Ilha da Caveira,2017,118,62,"acao, aventura, fantasia",299.758,66,129,StarsTom HiddlestonSamuel L. JacksonBrie Larson,Legendary,Warner Bros.,en,T,1,0,11
108,Kingsman: O Círculo Dourado,2017,141,44,"acao, aventura, comedia",293.866,67,36,StarsTaron EgertonColin FirthMark Strong,TSG,20th Century Fox,en,T,0,0,7
109,Alien: Covenant,2017,122,65,"horror, sci-fi, thriller",266.624,64,53,StarsMichael FassbenderKatherine WaterstonBilly Crudup,20th Century Fox,20th Century Fox,en,T,0,0,30
110,Piratas do Caribe: A Vingança de Salazar,2017,129,39,"acao, aventura, fantasia",282.177,65,16,StarsJohnny DeppGeoffrey RushJavier Bardem,Walt Disney,Walt Disney,en,T,0,0,60
111,Amor Além da Vida,1998,113,44,"drama, fantasia, romance",105.969,70,66,StarsRobin WilliamsCuba Gooding Jr.Annabella Sciorra,Interscope,Universal,,F,2,1,36
112,Transformers: O Último Cavaleiro,2017,154,27,"acao, aventura, sci-fi",142.931,52,17,StarsRobin WilliamsCuba Gooding Jr.Annabella Sciorra,Hasbro,Paramount,en,T,0,0,
113,Lego Batman: O Filme,2017,104,75,"animacao, acao, aventura",138.656,73,87,StarsWill Arnett(voice)Michael Cera(voice)Rosario Dawson(voice),Warner Bros.,Warner Bros.,en,T,0,0,
114,Logan,2017,137,77,"acao, drama, sci-fi",692.103,81,48,StarsHugh JackmanPatrick StewartDafne Keen,Marvel,20th Century Fox,en,T,1,0,30
115,Star Wars: Os Últimos Jedi,2017,152,84,"acao, aventura, fantasia",591.014,69,88,StarsDaisy RidleyJohn BoyegaMark Hamill,LucasFilm,Walt Disney,en,T,5,0,
116,Thor: Ragnarok,2017,130,74,"acao, aventura, comedia",651.382,79,69,StarsChris HemsworthTom HiddlestonCate Blanchett,Marvel,Walt Disney,en,T,0,0,
117,Homem-Aranha: De Volta ao Lar,2017,133,73,"acao, aventura, sci-fi",558.921,74,38,StarsTom HollandMichael KeatonRobert Downey Jr.,Marvel,Sony,en,T,0,0,76
118,Viva: A vida é uma festa!,2017,105,81,"animacao, aventura, comedia",435.907,84,62,StarsAnthony Gonzalez(voice)Gael García Bernal(voice)Benjamin Bratt(voice),Walt Disney,Walt Disney,en,F,2,2,
119,A Lagoa Azul,1980,104,31,"aventura, drama, romance",66.494,58,23,StarsBrooke ShieldsChristopher AtkinsLeo McKern,Columbia,Columbia,en,F,1,0,
120,Karatê Kid: A Hora da Verdade,1984,126,60,"acao, drama, familia",209.079,73,14,StarsRalph MacchioPat MoritaElisabeth Shue,Columbia,Columbia,,T,1,0,
121,Lua de Cristal,1990,90,,"comedia, familia, fantasia",910,45,39,StarsSelvagem Big AbreuJuliana BaroniMarilu Bueno,Xuxa,Columbia,,F,0,0,
122,Curtindo a Vida Adoidado,1986,103,61,comedia,336.964,78,19,StarsMatthew BroderickAlan RuckMia Sara,,Paramount,en,T,0,0,
123,Matilda,1996,98,72,"comedia, familia, fantasia",139.244,69,44,StarsDanny DeVitoRhea PerlmanMara Wilson,Jersei,TriStar,en,F,0,0,
124,Um Príncipe em Nova York,1988,117,47,"comedia, romance",199.480,71,60,StarsEddie MurphyPaul BatesGarcelle Beauvais,Eddie Murphy ,Paramount,en,F,2,0,7
125,Resgate Abaixo de Zero,2006,120,64,"aventura, drama, familia",63.191,73,39,StarsPaul WalkerJason BiggsBruce Greenwood,Walt Disney,Buena Vista,en,F,0,0,
126,O Máskara,1994,101,56,"acao, comedia, crime",364.173,69,46,StarsJim CarreyCameron DiazPeter Riegert,Dark Horse,New Line,en,T,1,0,
127,O Homem de Aço,2013,143,55,"acao, aventura, sci-fi",732.324,70,83,StarsHenry CavillAmy AdamsMichael Shannon,DC,Warner Bros.,en,T,0,0,
128,Jogos Vorazes: Em Chamas,2013,146,76,"acao, drama, misterio",634.831,75,50,StarsJennifer LawrenceJosh HutchersonLiam Hemsworth,Lions Gate,,en,T,0,0,
129,Além da Escuridão: Star Trek,2013,132,72,"acao, aventura, sci-fi",472.945,77,94,StarsChris PineZachary QuintoZoe Saldana,Bad Robot,Paramount,en,T,2,0,14
130,Meu Malvado Favorito 2,2013,98,62,"animacao, aventura, comedia",382.040,73,37,StarsSteve Carell(voice)Kristen Wiig(voice)Benjamin Bratt(voice),Illumination,Universal,en,T,2,0,
131,Thor: O Mundo Sombrio,2013,112,54,"acao, aventura, fantasia",631.048,68,40,StarsChris HemsworthNatalie PortmanTom Hiddleston,Marvel,Walt Disney,en,T,0,0,
132,Wolverine: Imortal,2013,126,61,"acao, sci-fi",444.941,67,49,StarsHugh JackmanWill Yun LeeTao Okamoto,20th Century Fox,20th Century Fox,en,T,0,0,25
133,X-Men: Dias de um Futuro Esquecido,2014,132,75,"acao, aventura, sci-fi",681.364,79,79,StarsPatrick StewartIan McKellenHugh Jackman,20th Century Fox,20th Century Fox,en,T,1,0,
134,O Jogo da Imitação,2014,114,71,"biografia, drama, thriller",720.477,80,27,StarsBenedict CumberbatchKeira KnightleyMatthew Goode,Black Bear,StudioCanal,en,F,8,1,
135,Kingsman: Serviço Secreto,2014,129,60,"acao, aventura, comedia",619.087,77,49,StarsColin FirthTaron EgertonSamuel L. Jackson,TSG ,20th Century Fox,en,T,0,0,3
136,Lucy,2014,89,61,"acao, sci-fi, thriller",468.690,64,56,StarsScarlett JohanssonMorgan FreemanChoi Min-sik,EuropaCorp,EuropaCorp,en,F,0,0,
137,Divergente,2014,139,48,"acao, aventura, misterio",440.487,66,47,StarsShailene WoodleyTheo JamesKate Winslet,Summit,Summit,en,T,0,0,
138,Malévola,2014,97,56,"acao, aventura, familia",358.347,70,36,StarsAngelina JolieElle FanningSharlto Copley,Walt Disney,Walt Disney,en,T,1,0,
139,Uma Aventura Lego,2014,100,83,"animacao, aventura, comedia",335.991,77,35,StarsChris Pratt(voice)Will Ferrell(voice)Elizabeth Banks(voice),Warner Bros.,Warner Bros.,en,T,1,0,19
140,Transformers: A Era da Extinção,2014,165,32,"acao, aventura, sci-fi",305.323,56,69,StarsMark WahlbergNicola PeltzJack Reynor,Hasbro,Paramount,en,T,0,0,
141,Como Treinar o Seu Dragão 2,2014,102,76,"animacao, acao, aventura",317.913,78,17,StarsJay Baruchel(voice)Cate Blanchett(voice)Gerard Butler(voice),DreamWorks,20th Century Fox,en,T,1,0,22
142,RoboCop,2014,117,52,"acao, dcrime, sci-fi",221.782,61,75,StarsJoel KinnamanGary OldmanMichael Keaton,Strike,Columbia,en,F,0,0,
143,Transcendence: A Revolução,2014,119,42,"acao, drama, sci-fi",222.795,62,42,StarsJohnny DeppRebecca HallMorgan Freeman,Alcon,Warner Bros.,en,F,0,0,50
144,Jogos Vorazes,2012,142,68,"acao, aventura, sci-fi",875.018,72,46,StarsJennifer LawrenceJosh HutchersonLiam Hemsworth,Color Force,Lions Gate,en,T,0,0,
145,O Hobbit: Uma Jornada Inesperada,2012,169,58,"aventura, fantasia",782.727,78,43,StarsMartin FreemanIan McKellenRichard Armitage,New Line,Warner Bros.,en,T,0,0,
146,007 - Operação Skyfall,2012,143,81,"acao, aventura, thriller",660.968,78,68,StarsDaniel CraigJavier BardemNaomie Harris,EON,Columbia,en,T,3,0,
147,Ted,2012,106,62,comedia,587.814,69,50,StarsMark WahlbergMila KunisSeth MacFarlane(voice),Bluegrass,Universal,en,T,5,2,
148,Life of Pi,2012,127,79,"aventura, drama, fantasia",601.747,79,41,StarsSuraj SharmaIrrfan KhanAdil Hussain,20th Century Fox,20th Century Fox,en,F,1,0,
149,O Espetacular Homem-Aranha,2012,136,66,"aventura, drama, fantasia",583.891,69,46,StarsSuraj SharmaIrrfan KhanAdil Hussain,Marvel,Columbia,en,T,11,4,
150,Detona Ralph,2012,101,72,"animacao, aventura, comedia",397.529,77,68,StarsJohn C. Reilly(voice)Jack McBrayer(voice)Jane Lynch(voice),,,en,T,1,0,
151,Valente,2012,93,69,"animacao, aventura, comedia",389.445,71,204,StarsKelly Macdonald(voice)Billy Connolly(voice)Emma Thompson(voice),Walt Disney,Walt Disney,en,F,1,1,
152,Os Miseráveis,2012,158,63,"drama, musical, romance",318.618,76,37,StarsHugh JackmanRussell CroweAnne Hathaway,Relativity Media,Universal,,F,8,3,23
153,Branca de Neve e o Caçador,2012,127,57,"acao, aventura, drama",281.158,61,127,StarsKristen StewartChris HemsworthCharlize Theron,Roth,Universal,en,T,2,0,26
154,A Escolha Perfeita,2012,112,66,"comedia, musica, romance",290.501,71,75,StarsAnna KendrickBrittany SnowRebel Wilson,Gold Circle,Universal,en,T,0,0,
155,O Ditador,2012,83,58,comedia,290.515,64,135,StarsSacha Baron CohenAnna FarisJohn C. Reilly(uncredited),Four By Two,Paramount,en,F,0,0,
